,Item_link,Category_result,table_name,Item_text,Scan_limit,time_interval,Depth
0,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Clocks/zgbs/amazon-devices/21579956011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Clocks,AmazonDevicesAccessories_Clocks,Clocks,5,20,3
1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Device-Covers/zgbs/amazon-devices/1288346011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Covers,AmazonDevicesAccessories_Covers,Covers,5,20,3
2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Home-Security-Solar-Chargers/zgbs/amazon-devices/23581299011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Home Security Solar Chargers,AmazonDevicesAccessories_HomeSecuritySolarChargers,Home Security Solar Chargers,5,20,3
3,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Amazon-Device-Memory-Cards/zgbs/amazon-devices/10871379011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Memory Cards,AmazonDevicesAccessories_MemoryCards,Memory Cards,5,20,3
4,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Remote-Controls/zgbs/amazon-devices/16926004011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Remote Controls,AmazonDevicesAccessories_RemoteControls,Remote Controls,5,20,3
5,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories-Kindle-Screen-Protectors/zgbs/amazon-devices/2642143011/ref=zg_bs_nav_amazon-devices_2_370783011,Any Department > Amazon Devices & Accessories > Amazon Device Accessories > Screen Protectors,AmazonDevicesAccessories_ScreenProtectors,Screen Protectors,5,20,3
